	active|dispossess|goods|minimal
අස්මාකර	nuciform
වර්තුලාව	dome
සයිටොකොඇගියුලේස්	cytocoagulase
අවුණනවා	compose|link
කැටාලෙක්ටිකනය	catalecticant
කැමති	ambitious|avid|desirous|willing
පළමුවෙනි	primus
ගාන්ධර්වය	concert
ආශිංසනය	benediction|blessing|compliment|wishing
පාංශු	soil
කරුණාවන්ත	benevolent|benign|charitable|compassionate|fatherly|friendly|good|kind|motherly|obliging|propitious|sweet|tender|thoughtful|warm-hearted
ඇසොටොබැක්ටීරීයා	azotobacteria
නුවටා	jain
වන්දිපූරණය	indemnity
අග්‍රදූතයා	harbinger
අනවශ්‍යකත්වය	redundance|redundancy
කොක්‍රන්	cochran
සත්‍යායකය	verifier
පුරුෂායිතය	masculinity
වොට්	watt
ප්‍රතිමාණය	revaluation
හැසිරවීම	manipulation|regimen
වර්ණජනක	chromogenic|chromogenous
සර්වේශ්වරවාදියා	pantheist
වංගෙඩිය	mortar
එබ්බීම	embedding|emboss|inlay
අසල	close|beside|by|near|nearby|proximity
විගණනලාභී	auditee
වටගේ	rotunda
නරියා	fox|jackal|jackle
ප්‍රෝටනෝපියාව	protanopia
ටෙරසය	terrace
වාක්සම්ප්‍රදාය	phrase
සමීපත්වය	closeness|proximity
එල්ලුම්ගස	gallows
පංචදශාස්‍රය	pentadecagon
ඔපය	glaze|gloss|polish|shine|varnish
සත්චෝද්‍යානය	zoo
නොපැසවූ	azymous
උදාසීනභාවය	apathy|ennui|indifference
ප්‍රණාලිය	catena|conduit|gutter
ගෙතීම	braiding|fabrication|knitting
මයික්‍රෝවෝල්ට	microvolt
කමාකරනවා	forgive|pardon
විශ්වස්‍ය	confidential|credible
වෙනුවට	behalf|for|p.p.|substitute|vice
අභිභවනවා	vanguish|vanquish
අසංක්‍රාම්‍යතාව	intransitivity
ඉන්ඩිගෝ	indigo
විපර්යස්ත	alternate
ඇත්ගාල	krall
බැරුම්	formidable|grave|heavy|onerous
යෝජනාව	motion|move|offer|overture|project|proposal|resolution|sugestion|suggestion
පෞච්ඡ	caudal
ව්‍යාපාරානුරූප	businesslike
මුලින්	afore|ahead|originally
අවසේධතාව	inhibitionism
ප්‍රථමතම	primitive
වෙනක්‍රමයකින්	anew
සර්වකාලීක	eternal
නොපැකිළ	unhesitating
ද්විභාෂික	bilingual
හිරට	compactly|tightly
පර්යේෂක	researcher
සමකිරීම	grading
අක්සනය	axon
විලාසිනී	beauty|belle|coquette|flirt|geisha
අනුනායක	deputy|sub-chief
විරල	rare|separate|sparse|sporadic|tenuous|thin
නෙපැළෙන	indehiscent
අභික්ෂණය	detection
නිවේදන	ultimata
ඒකගෘහීතාව	monoecism
සෝස්	sauce
පිම්බුණු	baggy|puffy|tumescent|tumid
බහුකලා	multiphase|polyphase
නෞතලය	carina|keel
ඉම්පාලා	impala
පරමාදර්ශ	ideal|ideals
උසුරුවනවා	bear|support|sustain
පාදිලි	father
කලාවේදියා	artist|virtuoso
පැවතෙනවා	originate
අධිකරණසංවිධානය	judicature
ස්වරාජ්‍යය	autonomy|self-government
පිනුව	jumper
පිටුදැකීම	boycott
සයිසිං	sizing
චක්‍රමාර්ගය	rut
මුදිත	happy|satisfied
අධ්‍යක්ෂවරිය	directress
දෙනිය	meadow
වාහීචාලක	vasomotor
බුරුත්ත	cluster|knot
සමමුහූර්තේක්ෂය	synchroscope
ශුභ්‍ර	shining|white
සමජාතිතාව	homogeneity
කාබොනොමීටරය	carbonometer
ආකාශභාෂිතය	soliloquy
පර්ණංග	ferns
භාරකරුවා	caretaker|chaperon|concierge
ඇඹිල්ල	antidesma
ප්‍රතිනාදනය	reverberation
වශීභාවය	hypnosis
පිටිවහල	assistance
ආශ්‍රේයතාව	sociability|sociality
තාවකාලීන	temporary
විකල්ප	alternate|alternative|alternatives|optional
ශිකරය	apex
මැළි	lazy
ඉලිප්සය	elipse|ellipse
ටැකිමීටරය	tachymeter
ග්ලයිකොජන්	glycogen
ඇන්ඩොරයිට්	andorite
උඩුකුදය	lordosis
ප්‍රවණතාත්මක	tendentious
නයිට්‍රීකාරක	nitrifiable
වෘංහනෝන්මාදය	megalomania
කේතලය	kettle
උපසේවී	ancillary|subordinte
ශිර්ෂය	crown|vertex
ආන්තරය	differential
විගීෂාව	ambition
දීර්ඝසූත්‍රතාව	tedium
ආනුශංගික	incidental
භ්‍රමණය	circumvolution|gyration|rotate|rotation|whirl
කූල	groove
සංස්කරණය	construction|edition|revision|version
අවුලනවා	gather
ප්‍රතිවාද	antithetic|opposite
තැතිගැන්ම	alarm|consternation|horror
සංලීනතාව	seclusiveness
අභීත	fearless
මැලැයීම	fade|fading
දධි	curd
කෝප්ප	pantry
දෙක	both|twain|two
අසත්‍යේක්ෂණය	falsifiability
විද්‍යාත්මක	scientific
අසද්ධර්මසේවනය	paganism
සාමිවරයා	baron|lord
ව්‍යංගිත	tacit
නිතරඟයෙන්	uncontested
මාමා	uncle
සේවාර්ථියා	client
සංගසූරිය	thread
සංවියුතය	switch
ප්‍රාක්පත්‍රය	protophyll
සිනිමාව	cinema|kinema|kinematograph
වාතවිරත	anemophobous
ඖෂ්ඨ	labia
ගැරයා,ගැරඬියා	rat-snake
පඹයා	bogie|bogy|dud|dummy|effigy|guy|scarecrow|stalking-horse
කණවැන්දුමිය	widow
අප්‍රතිපුද්ගල	matchless|unrivalled
තුෂ්ටිය	delight|happiness
කඟවේණා	rhinoceros|unicorn
ආරවුල	dispute|hassle|quarrel
බ්‍රිතාඤ්ඤය	britain
ගගනාර්හතාව	airworthiness
නොසලකා	despite|regardless
දියබරියා	water-snake
තුටු	happy
ද්විවර්ගජ	biquadratic
ගැල්කරු	carter
උවම	simile
න්‍යාදර්ශකරණය	sampling
සංකුව	conch
අක්ෂිවෛද්‍යයා	oculist
රඳන	compress
වොන්	won
සත්වපාලකයා	breeder
ඝනකවරය	board
ඩිංග	bit|dash|little|nibble|nip|pinch|snatch
ධෛර්ය්‍යසම්පන්න	grity|plucky
ඒකකර්තෘවාදය	monergism
නිෂ්කාසනාගාරය	clearing-bank/house
සොලිසිටර්වරු	solicitors
පරිමිතිය	perimeter
චක්‍රීයත්වය	periphrasis
උපභාර්යාව	concubine
තෙද	fire|heat|majesty
ප්‍රතික්‍රමණ	regressive|retrogation
ප්‍රියදර්ශී	agreeable
සුනුවම	whitewashing
අධිශීතනය	supercooling
වන්දනාකරු	pilgrim
චන්දන	sandal|sandalwood
ලම්බාකාර	perpendicular|vertical
පරිචක්‍රය	paricycle|pericambium|pericycle
අමනස්‍යය	amentia
යථාවර්ණ	orthochromatic
මහාකාව්‍යය	epic
අනර්ඝ	choice|excellent|inestimable|invaluable|precious|rich|smashing|snazzy|super|superior|valuable
කාචය	cataract|glass|lens
යුතු	aright|engaged|just|legal|legitimate|suitable
උඩුපැල්ලෙන්	back-ward|back-wards
විශ්වාසත්වය	credibility|fidelity
අරුන්ත	arunta
විභ්‍රමකය	gyrator
ග්‍රෝසය	gross
කටයුත්ත	action|activity|affair|agency|business|commission|duty|marriage|matter|service|task|transaction|work
තනුව	strain|tune
ධනවත්	affluent|opulent|princely|rich|ritzy|wealthy|well-off
ශිල්පකාර්මිකයා	technician
බලාපොරොත්තුව	aim|end|expectance|expectancy|expectation|game|goal|hope|object|objective|outlook|purpose
රණකාමය	warfare|warpath
ඌර්ණ	wool
ආහ්වානය	invocation
කල්‍යාණ	agreeable|beautiful|beauty|felicitous|good|noble|prosperity|virtue
ප්‍රාක්තන්ත්‍රිය	protonemal
ද්විමංචතාව	diclinism|dicliny
පරිවර්ත්‍ය	convertible|variable
බුදුකුරු	bodhisatta
නට්සි	nazi
නිර්මල	clean|clear|chastened|fleckless|immaculate|invalid|lucid|pure|spotless|stainless|unimpeachable|unsullied|untarnished
වට්ටිය	basket|punnet|tray
ආදිආවෘතබීජකය	archiangiosperm
පරමවිඥානාර්ථය	theosophy
වත්‍රක	graphics
ආසනඝරය	asanaghara
බල්ල	dog
අවෛශයික	non-objective
කැඳවන්නා	convener
සීපස්	cephei
මනයොන්	cupid
අසමවර්තතාව	anisotropy
යාන්ත්‍රිකකරණය	mechanisation
මිහිවිදමන	borehole
මෙනෙවිය	colleen
යතුරුපැදිය	bike
වාකපොල්ල	wind-gap
සිංහල	ceylon|native|sinhalese
විදු	electricity|knowledge|learned|science
ඇල්කීනිල්	alkenyl
උදුරාගන්නවා	carry|despoil|wrest
ප්‍රසාදකය	clarificant|clarification
වාග්විශ්‍රම්භය	verbalism
ඇමයින්හරණය	deamination
දන්තුර	dentate|serrate
අනුලක්ෂනය	underfeature
ස්වයංජනක	autogamic|autogamous
ක්ලෝරිනීභවනය	chloridization|chlorination
හෝරාව	hour
රන්	gold
තරංකය	latch
ද්‍රව්‍යෙශ්වරවාදය	hylotheism
හමනනවා	couple|joint
ආර්ථිකය	economics|economy
යාච්ඤාව	orison|pray|prayer
කැම්පෝස්	campos
ආගාමිකයා	immigrant
අශ්ලීල	coarse|obscene|pornographic|prurient|rabelaisian|vulgar|vulger
වක්‍රෝත්තිය	equivocation
දවුඩනවා	connect|join
ට්‍රිපයිනය	trepan|trephine
සාරවත්	copious|fat|fecund|fertile|fruitful|lush|luxuriant|meaty|pithy|productive|rich
ක්‍රමාන්වය	gradation
හස්තමුද්‍රාශාස්ත්‍රය	cheiromancy
රටකනවා	destroy|govern|ruin
ක්‍රමයෙන්	creeping|regularly|steadily
නිර්මිතිය	creation|design|fabric|structure
සක්මන්ගත	ambulatory
පහිණ	message
උද්දිගංශ	azimuthal|zenithal
පයිරොබෝරේට්	pyroborate
කැලය	forest|jungle|wood
ඇක්විලා	aquila
නිස්තර	wireless
ඇක්සෝල්	aczol
වැඩිමල්	elder|eldest|senior
මයිල්	hair
නොබෝදා	recently
වොයිල්	voile|voile
දක්ෂිණාත්‍ය	austral
කේන්තිකාර	huffy
ධනාරෝපය	enrichment
ඇරිස්ටෝටලියානු	aristotelian
රිකිලි	ramuli|twig
ද්විබීජාණුක	bisporous
අඳනය	skirt
ද්වීපික	insulation
සිප්සෙලාව	cypsela
කැල්සයින්	calcine
උඩ	a|above|aloft|on|over|top|up|upon
පෘථග්ජනයා	worldling
ලෙමුරියා	lemuria
ප්‍රත්‍යන්ත	frontier|provincial
කේතුධර	conical|coniferous
නොනැඹුරු	unbiased|unbiassed
කෙනෙහීම	spite
මෘද්භාණ්ඩ	pottery
ඉවැසීම	tolerance
විසියනවා	entice
ප්‍රතිහිංසක	avenger
නොසිහුම	mismatching
ද්විඝටිත	dicrotic
ආදායකය	receiver
අපමතිය	dissent
ඉස	caption|head|heading|top
මනුෂ්‍යයා	man|mortal
ස්වාධීනතාව	freedom|independence|liberty
පොත්ගුල	library
අසංගතිය	contrariety|discord|discrepancy|incompatibility|inconsistency
මාසික	monthly
බිලීබානවා	fish
ඉක්ෂු	sugarcane
සංකල්පරූපවාදය	imagism
ඇක්ටිනික්	actinic
පලාත්බද	provincial
අසුභ	evil|impure|ominous|unlucky
බලනවා	advew|aspect|behold|look|observe|see
අතිනාට්‍යය	melodrama
පරායන	attached
න්‍යට්‍රෝනය	neutron
සාවධානයෙන්	attentively
සැහැල්ල	ballad
සගන්ධ	aromatic|odoriferous
තෘෂ්ණාව	avarice|covetousness|craving|desire|lust
ගණිකාවාසය	brothel
ඇනොලයිටය	anolyte
ඒකදේවවාදී	monotheistic
බුනුව	wreck|wreckage
අනුප්‍රාප්තීය	succeeding|successive
ඇන්ටිකැටලේස්	anticatalase
අහේනිය	famine
හෘද්	cardiac
ව්‍යජාකාරය	pseudomorph|pseudomorphism
අපදෘෂ්ටිකය	catoptrics
ඇලයිට්	alite
උපාභිලම්බය	subnormal
අස්ථිබන්ධය	ligament
තුන්	three|tri
කණස්සල්ල	worry
පශුසම්පත	livestock
ගොවිකම්	agricultural
ශික්ෂාකාමී	amenable|obedient
නවකරණ	renewing
සන්තෘප්ත	pleased|satisfied|saturated
නිරතරයෙන්	constantly
චමත්කාරී	quaint
තාපසුවිකාර්ය	thermoplastic
සිවුරළු	disrobed
කෘදන්තය	participle
ක්ෂීරමානය	lactometer
ජවය	energy|power|speed|velocity
ද්වෙෂය	abomination
තෙස්පියානු	thespian
පැන්	water
නිපාතමය	prepositional
සන්නිදර්ශිත	illustrated
නියාමනය	regulation
ශ්ලීපද	elephantiasis|filariasis
සැරසුම	adornment|applique
වළංගුකම	force
ද්විපෘෂ්ඨ	biforns
මිත්‍රශීලිභාවය	affability
නිමය	barter
අලංකාරෝපකරණ	garnishing
සහෘදයා	connoisseur
සංඝනීභූතය	condensate
කීලකාර	cuniform
කපන	cleaving|cutting
බෙරය	barrel|drum
මන්දෝෂ්ණ	tepid
එකක්	mono
බලපාන	affective|binding
මාත්‍රයක්	alone
උපලේඛනය	schedule|subscription
සෛලජාරණය	cytolysis
මහානුභාවසම්පන්න	glorious|magnificent|majestic|stately
කරමල්	tonsils
සමදල	homopetalous
ජලප්‍රවාහය	cataclysm|deluge|torrent
අසමාභිසාරක	anisotonic
නිලහන	frank
අන්තර්ප්‍රතිග්‍රහනය	interoperability
ව්‍යහවාදය	structuralism|structuralism
මිසොසොයික	mesozoic
ශ්‍රේෂ්ඨයා	doyen|king
සාන්ද්‍ර	concentrated|sturated|thick
සංවර්ධ්‍ය	developable
ව්‍යංග්‍යතාව	suggestibility
නභ	sky
සොරා	thief
සහභෝත්වය	commensalism
ව්‍යපශමය	convalescence
රවත	composed
පරමාණු	atomic|atoms
හුරුල්ල	sheaf
සිඟුව	horn|nappe|spire
තත්ත්වය	circumstance|capacity|case|cercumstances|condition|conditions|degree|estate|fact|fettle|fundamental|place|plight|position|principle|quality|stage|standard|state|status|substance
නවන්‍යාය	neo-logy
දෙබල්වීම	bifurcation
උප්පැන්නය	birth
වේලාසනින්	betimes|early
උච්චස්ථානය	cap
පෙර	afore|ago|agone|ante|antecedent|before|eastern|ere|ex-ante|former|front|late|pre|previous|whilom|yester
විරෝචන	shining
ක්‍රමසූචක	ordinal
තොරතුරුකාර	informatory
හිස්ටෙරොනියුරෙස්තීනියාව	hysteroneurasthenia
කවාකාර	circular|round
දනවුව	colony|state
මක්ඛය	ingratitute
ඇත්ත	fact|sooth|substance|truth
කැත්ත	catty|chopper|katty
ද්විරේඛය	bilinear
මනහ්සෘෂ්ටිය	phantasy
කකියන	aching
මාර්ගෝපකරණය	kit
හවුල්ව	jointly
හාතාවාරිය	asparagus
ගැහෙනවා	convulse|dodder|flick|quake|shake|shiver|throb|tremble|trermble
ගැල්වානි	galvanic
පරිණාමිතය	transform
වාර්ෂිකව	annually
ප්‍රකාශගති	photodynamic
හොරොව්ව	sluice
ඒකාංශ	one-sided|secund|unilateral|unilineal
භවාංග	subconscious|subliminal
සකා	fellow
භාතෘත්වය	brotherhood
ප්ලාස්මෝඩිය	plasmodium
ආවර්තරේඛය	periodogram
අඟහරුවා	mars
කිරිත්තීම	circumcision
මතභේදය	chasm|controverse|controversy|difference|dispute|dissension
මඤ්ඤා	godmother|sponsor
වාරුණ	pluvial
සමුජ්වලිත	goegeous
සංද්‍රකය	borer
ජලතරංග	wave
පංච	five|quinary
උන්නතෝදරතාව	convexity
සාවාට	pitted
අනුස්ථාපනය	orientation
උපරිස්ථ	incumbent|overlying|superincumbent
වැලිකන්ද	dune
කළමනාකරුවා	bailiff
අඩුකරනවා	reduce
ශිරස්කාකාර	galeate
හෙළිකරනවා	disclose|reveal
ව්‍යත්‍යාසය	decussation
ප්‍රමාදව	behind|late
නඩුහිමියා	client
සටන්කාමී	warlike
දොඹකරය	capstan|crab|crane
පරිගාමි	circumlocutory|ambulatory
විශ්‍රැත	well-known
දෘශ්‍යකාව්‍ය	drama
වර්ණතාව	chromatism
ගිලදමනවා	swamp
ධ්‍රැවණය	polarisation|polarization|polarography
දොෂෝච්චාරණය	confession
බංකොලොත්කාරයා	bankrupt
සසිරි	prosperous
පුලත්ථිපුර	polonnaruva
තරංග	wave
පරීක්ෂා	testing|tests
මහන්නී	seam-stress|sempstress
ඇසිටැමයිනෝ	acetamino
වධ්‍යාවරණය	mesocarp
මව්බිමායනය	repatriation
ස්වයංචලනය	autochory
විරුද්ධත්වය	dissent|exception|objection|opposition|truculence
ඖෂධාලය	pharmacy
කූමය	combe
බහුපරිපුෂ්පී	polyphyllous
ප්‍රාක්තම	primitive
දිලීරාකාර	fungoid
නරිනාටකය	foolery
පීඩනාවර්තනය	barotropism
උංච්ල්ලාව	swing
තේරුම්ගන්නා	construer
වර්ෂාකාමිතාව	ombrophily
බලන්න	dekko
ලකුණුකරණය	marker
දර්ශිකාව	indicatrix
වාද්‍යු	playing
කැසවරී	cassowary
දශලක්ෂය	million
ද්විභාජකය	bisector
වාන්	mat|spill
විස්මයාවහ	fabulous|marvellous
දොම්නස්	cheerless
මක්කට	monkey
පසුතලාව	backplane
නෛෂ්ක්‍රම්‍යය	renunciation
ලැම්ඩාරේඛය	lambdagram
ඔරායන්	orion
කැලිෂේ	caliche
බිලියනය	billion
මිත්‍රත්වය	alliance|amity|camaraderie|companionship|fellowship|friendship|relations
කොමිටියාව	comitia
පරාවර්තක	reflective
ප්‍රතිවිපාක	consequences|effects|repercussions
නීචකම	abjectness|baseness|infamy|reprobateness|turpitude
තැකීම	consideration|regard
පෙරළා	back
ස්වාප්නක	hypnotic
පෙරහැර	fair|procession
ඉලේට්‍රෝන	electron
සැසදීම	comparison
සිඩරෝසියාව	siderosis
අතිධාවන	overspeeding
ජන්මාණුව	gamete|pairing-cell
කෝටිනය	cortin
බද්ධතාව	adherence
ස්කෑමනි	scammony
ශබ්දචලනය	equivocation
යකැටිය	bloom
මද්‍යපාන	drinks
සංවේදනය	sensation|stipulation
උත්ස්වනිය	supersonics
බුම්බුලාකාර	bulbiform
ප්‍රත්‍යභිඥානය	cognisance|cognizance|recognition
උපභෝග	useful
විනිවිද	per|trans|transparent
රාජකාරි	official
අපම	overselves
ආබාධිත	disabled|retarded
බහුයෝගී	polygamous
විවේචකය	discriminant
කේම	kame
අධිස්ථාපිත	superimposed
අරුංගලය	ear-ring
හෝමො	homo
හයිකාරයා	despot
නගරපති	mayor
උපාඛ්‍යානය	anecdote|episode|legend
කාසෙරියුලමීය	carcerular
නිහතමානබව	humility
දශාබ්දය	decade
නාමලේඛනය	register
රම්	rum
ක්ලෝරොස්ටැනේට්	chlorostannate
කසටද්‍රව්‍යය	astringent
ද්විගුණනය	chorisis|dedoublement|deduplication|doubling|duplication|reduplication
අභිනියෝගය	mandate
නිතිභ්‍රෂ්ටයා	outlaw
යල්පිනූ	obsolete|stale
පෙරංගානාවා	scrape
හිකනලා	brahman-lizard
ප්‍රතිසමය	analog|analogue|analogy
පෝරු	padding|sheets
අපරාධවේදියා	criminologist
සිදරය	zither
වාර්තාකාරයා	reporter
පූර්වනියුක්තිය	preoccupation
මිතඅවයවිකතාව	metaisomerism
විමිදුම	exculpation
යුද්ධශීලී	bellicose
කරප්‍රසාධනය	manicure
ප්‍රතිපාඨනය	callover
අනපේරණ	anastigmatic
කෝලම්	farce|mimicry|mockery
ප්‍රච්ඡන්න	concealed|covert|latent
දාඨා	tooth
පංචගුණික	quintuple
වටලනවා	assiege|besiege|circle|compass|encircle|encompass|raid|surround
ඨිතිය	moment|standing
රක්ෂණගෘහය	conservatory
ආශ්‍රාවණය	audition
වචනබාහුල්‍යය	verbiage
හත්වරක්	sevenfold
ලැකර්	lacquer
ඔක්කාරය	nausea|qualm
පිළිබෑවුම	batter|rake
මුහූර්තය	moment
එක්කොන්	monarch
ලාංඡනික	emblematic
සිතියම්විද්‍යාමය	cartographic
කඩපිළ	boutique|shop
තට්ටුවෙනවා	impinge
බියලය	moiety
උද්දිෂට	directive
පින්සල	brush
ඇක්‍රිඩින්	acridine
දෝසය	blemish
කෘමියෙක්	thrips
සන්නිවේද්‍යු	communicative
එකතුව	accumulation|addition|collect|collection|aggregate|aggregrate|altogether|amount|assembly|conjointly|gathering|sum|summation|tot|total
කාමෝද්දීපක	aphrodisiac
පෙප්ටික	peptic
කිකුයු	kikuyu
හීවැල	colter
කාලයන්ත්‍රය	chronometer
උසස්බව	lift
අපක්ෂපාත	impartial|neutral
තිළි	happiness|pleasure
කොලෙස්ටරොල්	cholesterol
වාතරූපනය	aeromorphosis
බ්‍රොන්කයිට්ස්	bronchitis
විමිදුම්	exculpative
ලොටොප්ලේවින්	lotoflavin
ඔය	brook|hey|stream|that|there|this
වරාගත	longstanding|timehonoured
වෛධර්මික	heterodox
බාහුයුද්ධය	boxing
උපනාහය	feud|patch|stupe
පැස්කල්	pascal
ගොරහැඩි	crude|rough|scabrous
ශුෂීර	chasm|flute|hole
ජැඝච්ඡා	hunger
ඩයොඩොන්	diodon
වාෂ්පශීලනය	volatilisation|volatilization
මිලිඇමීටරය	milliammeter
අග්‍රගණ්‍ය	distinguished|foremost|highest
භවතුව	fiat
විපර්යාසවාදය	transformism
ඡායිතය	shade
පෙරළිකාරිය	termagant
සිබියා	sib|sibling
අප්‍රෝටෝනීය	aprotic
අල්පදෘශ්‍යශාකය	nanophanerophyte
නළල	brow|forehead
අන්තරීක්ෂය	air|atmosphere|firmament|sky
බුරිය	navel
රුපු	enemy
ආභාසය	fallacia|fallacious|fallacy|influence|light
නවාකාරය	noviform
ගේඩරය	girder
ඛණ්ඩාංකරේඛය	co-ordinatograph|coordinatograph
ශ්ලෝකය	quatrain|stanza|verse
ගිලන්බව	debility|lassitude
පැස්ටලිකයා	pastelist
මාර	death|ridge
නිකේතය	residence
ගානවා	coat|apply|bedaub|rub|smear|spread
සූත්‍රය	aphorism|formula
තෙබ්ඩි	trifid
සාහිප්‍රායත්වය	purposiveness
විත්ති	annals|defence|history|news|story
මන්දායනය	hysteresis
පෙරපිට	recto
මැක්‍රොස්පොරොපිල	macrosporophyll
ගුණාගුණය	operation
මිත්තවින්දකයා	jonah
විකර්ශණය	recogitions
එකවර	together
සළාරික	coarse|gross
නිරුපම	incomparable|unparalleled
වෘද්ධාංගුලිය	thumb
මන්දාණ්ඩාකාර	subovate
සර්කය	cirque
අනිවාර්ය	coactive|compulsive|compulsory|ineluctable|inevitable|necessary|obligate|obligative|obligatory
මුසාව	lie
විචයනය	discrimination
ඝර්ෂණය	abrasion|collision|attrition|friction|rubbing
මාංචුව	manacle|shackle
සුපෝෂක	eutrophic
ජීවිකා	livelihood|occupation
උච්ඡේදනය	annihilation|extinction
කුරිරු	brutal|cruel|harsh|vicious
පරිසංවාදය	symposium
අධිපූර්ණ	overstocked
සමුද්‍රය	main|ocean|sea
දිලිසුම	gloss
ආඝාත	hatred|killing|malice|striking
ධූලි	dust
එන්ජීම	engine
රංජකය	dye
නැප්තලීන්	napthalene
අයනය	circuit|course|ion|solstice
පරිගණනය	computation
අමුර්තනය	abstraction
පරිපූර්ණ	complete|consummate|full|ideal|perfect|replete
සාර්වනිවර්තන	pantropic
අසුරුව	pack|package
ආස්වාදනය	appreciation|enjoying|tasting
චාරික	itinerary
ආත්මම්හරිත්වය	egotism
ලෝහමය	brazen|metallic
පෙරැත්තය	beseech
නර්තකී	danseuse
භාජනය	bowl|can|container|holder|receiver|receptacle|utensil|vessel
නලංගුව	hypochondria|melancholy
වාසුළිය	cyclone
පුරනවා	commence|initiate|prime|start
දාස	menial
පක්ෂාන්ධතාව	hemiopia
ග්ලොසිනා	glossina
ආසන්නය	approximation|brink
හරි	accurate|al-right|check|correct|due|equal|just|regular|right|sheer|true|veritable|well
බැක්ටීරීයා	bacteria
වාසභවනය	residence
කතෝලිකයා	catholic
යෝජනාකරු	mover|proposer
අභ්‍යහනය	induction
තර්කුව	spindle
බහුවිධතාව	multiplicity|pluralism|plurality
වාංමාලාව	glossary|vocabulary
ජීරක	digestive
අධීශ්වරත්වය	suzerainty
අපාක	raw|uncooked|unripe
චතුර්භාස්මික	quadribasic|tetrabasic
නොසැලකිලිවන්තකම	levity
ණයවර	credit
මිරිඟුදිය	mirage
මුඳුන්	apexes|apices|meridian|top
උරගල	touchstone
එල්ල	straight
විනාශකාරී	baneful|destructive|ruinous
පෙප්ටයිස්කාරකය	dispergator|peptisator
අපගාමිකයා	deviant
වැළ	line
බාරය	bar|vow
ඔසප්වෙනවා	menstruate
ෂඩ්භුජය	hexagon
අභ්‍යාසලාභිත්වය	apprenticeship
මධ්‍යබාහිකය	mesocortex
මුකුලය	blossom
බෙදෙනවා	bifurcate|branch|divide|part
සාර්වසරණය	taxis
විපර්යාය	alternation
සයිටෝක්‍රෝම්	cytochrome
අශ්මරී	calculus|gall-stone|gravel|stone
වේලාන්තය	bank|shore
කළුවීම	blackening
අර්ථලාභි	remunerative
කාර්තුව	quart|quarter
සහායනය	accompaniment
ඇට	seeds
ඇතීනියානු	palladian
අසංවර	uncontrolled
කරුබිත	lintel
දුඹුල්වන්	fuligineous|fuliginose|fuliginous
අතිවාචනය	overstate
පැසවූ	septic
භූකේන්ද්‍රීක	geocentric
කංචුඡේදනය	colpotomy
අමාත්‍ර	asyllabical
මාපටැඟිල්ල	pollex|thumb
පැළඉනි	quick
ආකර්ෂී	attractive
මුළුමනින්ම	bodily|stark|thoroughly|wholesale
විකාබියුරීකරණය	decarburization
විනීතභාවය	modesty
ආවනය	livelihood
සහස්	thousand
අටල්ල	attic|loft|tower|watch-tower
අබලන්	decayed|feeble|frazzle|old|weak
සමඅවයවිකයෝ	homoeomeries
දෙදරුම	judder|juddering
සත්වකාමී	zoophilic|zooplankton
චතුෂ්ඡේදිත	quadrisected
අනනුගුණතාව	iacongruity
වන්ධ්‍යලය	vandalism
විතාළ	questioned
නිදසුන	example|illustration
නෙරූ	bulgy
සමුච්චයීකරණය	collation
බලධාරීහු	authorities
අතිවැසුම්	overlapping
ථල	highland
වල්ලභ	beloved|dear
තෙමනවා	damp|moisten|soak|wel|wet
මනස්තාපය	compunction|qualm
මෙවලම්	fittings|implements|instruments|kit|paraphernalia|tackle|tools
සම්මා	correct|true
මානවභාවාරෝපණය	anthropomorphism
පෙරගෙවූ	pre-paid
සේල්වා	selvas
මිලිහෙන්‍රිය	mh|millihenry
මායාකර්මය	witchcraft|wizadry
මහිලාව	woman
ඉක්මණින්	apace
සවල්	tailed
විවට	open|overt
ගර්ත	alveoli
අලිංගිකතාව	asexuality
පර්යසනය	upset
ප්‍රතියාචනය	counter-claim
උපකුලපති	vice-chancellor
අසතුටුදායක	unsatisfactory
රයටික්	rhaetic
රැජින	queen
අපරාජීත	unconquered
පාෂාණය	rock|stone
සංකල්පිතය	conception|supposition
අන්තරානීක	interfaces
සදූපදේශකයා	moralist
පීඨධාරි	bencher
පෙරික්සනවා	reconnoitre
ලුංටනය	looting|piracy
යුධෝපකරණ	armament
ද්විදල	bipetalous|dipetalous
අකලංක	immaculate|spotless
එබැවින්	so|therefore
වරවනය	longevity
අපලෝපනීය	abrogative
ගොතික්	gothic
සැඟැවුම	concealment
සංකරයා	cock-pit|cocktail|bastard
මැකි	flea
ස්ව	aut|auto|self
ඵලාඵල	fruits|results
ඉලිප්සාභ	ellipsoidal
අපරනාමය	by-name
මහාබීජාණුපත්‍රය	macrosporophyll
ඝාතීය	exponential
කාරිය	affair|business|duty|job|matter
ශීර්ෂපටිය	circler|circlet
ත්‍රිපිටක	canonical
චක්‍රවාටය	galaxy|glaxy|miky-way
ආත්මාර්ථකාමි	selfish
නරෝදවාදය	narodism
පතෝල	snake-gourd|snakegourd
දේවතාවෝ	devatas
ඔටෝග්‍රාපය	autograph
සාර්වදර්ශය	coenotype
වක්තෘ	learned|orator
සූචකය	descriptor|index|indicator|pointer
අපහසු	cumbersome|cumbrous|difficult|inconvenient|uncomfortable|uneasy|unhandy|untoward
බහුධ්‍රැවය	multipole
පර්වප්‍රදාහය	arthritis
කණිනිකේක්ෂය	pupilloscope
